id,api_football_id,name,firstname,lastname,age,nationality,height,weight,photo
68904,96469,Edu Pinheiro,,,,,,,https://media.api-sports.io/football/players/96469.png
112814,242454,Mohamed Khalef,,,,,,,
53297,484468,Charly Boga,,,,,,,https://media.api-sports.io/football/players/484468.png
76162,117611,D. Moffat,,,,,,,
76163,97916,K. Hutton,,,,,,,
45537,408765,S. Drozd,,,,,,,https://media.api-sports.io/football/players/408765.png
1256,61998,Anderson,,,,,,,https://media.api-sports.io/football/players/61998.png
85149,35868,L. Cortés,,,,,,,
178841,39018,S. Burfoot,,,,,,,
154103,638163,M. Zidi,,,,,,,
97342,16184,A. Holm Jensen,,,,,,,
97343,16187,M. Basse,,,,,,,
97344,16024,P. Larsen,,,,,,,
112815,242548,Mohamed Ali Omer,,,,,,,
112813,50553,Ibrahim Saeed,,,,,,,
154104,638164,M. Ghrab,,,,,,,
178842,208723,A. Saadoune,,,,,,,
178843,94504,M. Đorđević,,,,,,,
1239,44963,J. Mucha,,,,,,,
1287,87877,J. Pennant,,,,,,,
35172,231470,D. Mozika,,,,,,,
1282,12788,Ramires,,,,,,,https://media.api-sports.io/football/players/12788.png
35173,98466,L. Dalla Valle,,,,,,,
35174,118704,T. Kennedy,,,,,,,
35177,231022,D. Stewart,,,,,,,
35178,18270,M. Foden,,,,,,,
35180,210409,A. Elding,,,,,,,
35182,20285,D. Coyne,,,,,,,
35183,87903,M. McChrystal,,,,,,,
35184,232593,L. Jacob,,,,,,,
35185,230985,Ricardo Rocha,,,,,,,
35186,118917,C. Westcarr,,,,,,,
35187,231221,C. Gayle,,,,,,,
35189,18411,M. Brundle,,,,,,,
35190,231424,W. Agbo,,,,,,,
35193,97929,R. Loy,,,,,,,
35194,231323,P. Smith,,,,,,,
35195,223769,L. Trundle,,,,,,,
35197,4829,A. Djeziri,,,,,,,
35198,231885,P. Johnson,,,,,,,
35199,232448,S. Carole,,,,,,,
35202,234073,Z. Boagey,,,,,,,
35204,118893,C. Horlock,,,,,,,
35207,231356,L. Foster,,,,,,,
35208,234077,J. Gwilliams,,,,,,,
35209,82367,E. Smith,,,,,,,
35211,82895,D. Smith,,,,,,,
35214,230989,D. Connolly,,,,,,,
35215,18364,G. Porter,,,,,,,
1353,82138,Shola Ameobi,,,,,,,https://media.api-sports.io/football/players/82138.png
215095,624950,A. Lima,,,,,,,
160627,72422,V. Jaunzems,,,,,,,
1301,114829,N. Shorey,,,,,,,
1303,114830,B. Gunnarsson,,,,,,,
1304,90505,S. Taylor,,,,,,,
44664,400033,Timur Tutierov,,,,,,,https://media.api-sports.io/football/players/400033.png
178844,38845,F. Tavano,,,,,,,
66669,93002,Diederick Luydens,,,,,,,https://media.api-sports.io/football/players/93002.png
1229,114755,T. Hibbert,,,,,,,https://media.api-sports.io/football/players/114755.png
102707,69339,B. Murphy,,,,,,,
1340,104423,Júlio César,,,,,,,https://media.api-sports.io/football/players/104423.png
1335,19129,Pablo Hernández,,,,,,,https://media.api-sports.io/football/players/19129.png
