fixture_player_id,fixture_id,player_id,cards_red,cards_yellow,dribbles_attempts,dribbles_past,dribbles_success,duels_total,duels_won,fouls_committed,fouls_drawn,games_captain,games_minutes,games_number,games_position,games_rating,games_substitute,goals_assists,goals_conceded,goals_saves,goals_total,offsides,passes_accuracy,passes_key,passes_total,penalty_commited,penalty_missed,penalty_saved,penalty_scored,penalty_won,shots_on,shots_total,tackles_blocks,tackles_interceptions,tackles_total
5046576,286346,98908,0,0,1.0,,1.0,4.0,4.0,,1.0,false,26.0,19.0,M,6.9,true,,0.0,,,,9,,11.0,,0,,0,,,1.0,,,1.0
5519034,145926,105240,0,0,,,,5.0,3.0,2.0,1.0,false,61.0,33.0,M,6.9,false,0.0,0.0,,,,16,,24.0,,0,,0,,,,,,
2364148,227389,59941,0,0,2.0,,2.0,15.0,9.0,2.0,2.0,false,90.0,3.0,D,7.2,false,,0.0,,,,57,,76.0,,0,,0,,,,1.0,2.0,2.0
4145198,266781,84897,1,0,,,,,,,,false,40.0,6.0,M,7.2,true,0.0,0.0,,,,1,1.0,1.0,,0,,0,,,,1.0,,
3294604,30822,75577,0,0,,,,,,,,false,,23.0,D,,true,,0.0,,,,,,,,0,,0,,,,,,
1872469,214517,55458,0,0,1.0,1.0,1.0,4.0,3.0,,,false,32.0,20.0,M,6.9,true,0.0,0.0,,,,6,,12.0,,0,,0,,,2.0,,,2.0
5434657,147242,52725,0,1,,,,8.0,3.0,3.0,,false,90.0,4.0,D,7.3,false,0.0,0.0,,,,53,,56.0,,0,,0,,,2.0,1.0,,
9229617,353660,1867,0,0,1.0,,1.0,8.0,6.0,1.0,1.0,false,98.0,17.0,D,7.3,false,,0.0,,,,65,1.0,73.0,,0,,0,,,,,,2.0
819345,191176,45239,0,0,,,,2.0,2.0,,,false,19.0,19.0,F,6.7,true,0.0,0.0,,,,2,,6.0,,0,,0,,,,,,
3066760,244340,18513,0,1,2.0,1.0,2.0,7.0,2.0,3.0,0.0,false,90.0,14.0,M,6.7,false,,,,,,91%,0.0,54.0,,0,,0,,0.0,1.0,,1.0,
857900,192245,36073,0,0,,,,2.0,,1.0,,false,12.0,17.0,F,6.5,true,,0.0,,,,,,1.0,,0,,0,,,,,,
4426098,273491,89841,0,0,,,,6.0,4.0,,2.0,false,73.0,10.0,F,7.2,false,0.0,0.0,,,,18,1.0,19.0,,0,,0,1.0,,,,,1.0
