fixture_id,home_win,draw,away_win,bookmaker,source,in_csv,in_pq,known_at
208211,3.55,3.32,2.29,Pinnacle,API-Football-closing,true,false,2016-11-26 19:45:00
196398,3.1,3.2,2.37,Bet365,CSV,false,true,2022-10-08 14:00:00
191741,3.4,3.4,2.15,Bet365,CSV,false,true,2020-11-03 19:45:00
287123,1.76,3.71,5.22,Pinnacle,API-Football-closing,true,false,2017-08-08 15:45:00
572867,1.62,4.01,5.9,Pinnacle,API-Football-closing,true,false,2016-06-15 00:00:00
212021,2.8,3.01,2.93,Pinnacle,API-Football-closing,true,false,2018-02-05 19:30:00
34008,1.77,3.55,5.61,Pinnacle,API-Football-closing,true,false,2015-08-14 00:00:00
200422,1.85,3.25,5.0,Bet365,CSV,false,true,2019-09-22 10:00:00
94089,1.81,3.19,5.52,Pinnacle,The-Odds-API,true,true,2022-07-21 00:30:00
213011,1.75,3.7,4.5,Bet365,CSV,false,true,2020-07-31 19:00:00
183804,3.0,3.1,2.55,Bet365,CSV,false,true,2019-10-27 13:00:00
191950,1.6,4.0,6.0,Bet365,CSV,false,true,2021-02-20 15:00:00
234767,1.38,5.45,7.92,Pinnacle,API-Football-closing,true,true,2022-04-24 12:30:00
280412,1.6,3.97,6.18,Pinnacle,API-Football-closing,true,false,2019-04-15 17:00:00
205790,2.17,3.33,3.68,Pinnacle,API-Football-closing,true,true,2023-06-07 19:00:00
140177,1.42,5.22,7.42,Pinnacle,API-Football-closing,true,false,2021-07-18 01:00:00
216567,3.15,3.28,2.51,Pinnacle,API-Football-closing,true,false,2017-02-12 20:00:00
278244,2.63,3.05,3.16,Pinnacle,API-Football-closing,true,false,2017-11-07 00:05:00
