fixture_id,home_shots_total,away_shots_total,home_shots_on_goal,away_shots_on_goal,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_blocked_shots,away_blocked_shots,home_penalties,away_penalties,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_xg,away_xg,home_possession,away_possession,home_fouls,away_fouls,home_offsides,away_offsides,home_pass_accuracy,away_pass_accuracy,home_goals_ht,away_goals_ht,home_xg_ht,away_xg_ht,stats_fetched_at,in_csv,in_pq,xg_covered,xg_nulled,known_at
188968,10,17,5,7,7,11,3,6,3,3,0,0,7,6,1,0,0,0,0.91,1.48,52,48,13,9,0,2,72,72,1,2,,,2026-03-10 12:19:44.924298,true,true,true,false,2021-02-24 21:30:00
216849,16,9,5,1,8,7,8,2,4,4,0,0,11,5,0,0,0,0,1.2,0.88,,,,,,,,,0,0,,,,true,true,true,false,2017-11-29 19:45:00
292251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,true,false,true,,2021-08-14 20:15:00
262706,9,17,2,4,6,8,3,9,2,4,0,0,10,5,3,3,1,0,0.8,1.24,,,,,,,,,1,1,,,,true,true,true,false,2017-08-26 11:45:00
278919,23,8,7,4,12,5,11,3,8,0,0,1,16,1,2,5,0,1,1.77,1.33,,,,,,,,,0,1,,,,true,true,true,false,2019-09-23 00:45:00
370607,18,7,3,3,12,2,6,5,6,2,0,0,10,2,3,3,0,0,1.59,0.41,65,35,14,16,4,2,84,67,0,1,,,,true,false,true,false,2026-03-07 16:45:00
254158,23,8,5,3,15,2,8,6,7,1,0,0,12,2,2,1,0,0,2.0,0.44,,,,,,,,,,,,,,false,true,true,false,2016-09-15 00:15:00
312300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,true,false,true,,2018-02-16 17:45:00
94070,18,10,7,4,8,7,10,3,4,3,1,0,6,5,3,2,0,0,1.92,0.91,56,44,19,15,1,1,75,68,2,2,,,2026-03-10 11:48:07.079003,true,true,true,false,2022-07-06 02:15:00
345716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,true,false,true,,2017-10-14 12:45:00
112120,14,11,8,5,0,0,0,0,0,0,0,0,7,5,0,1,0,0,,,48,52,12,14,4,2,,,0,0,,,2026-03-10 12:25:32.742223,true,true,false,true,2020-12-16 14:45:00
227020,16,21,7,10,9,11,7,10,4,7,0,0,3,7,2,1,0,0,1.28,1.62,52,48,13,20,5,3,79,76,1,0,,,2026-03-10 11:53:28.174673,true,true,true,false,2022-04-03 17:15:00
153404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,3,0,,,2026-03-10 11:45:30.383804,true,true,false,true,2022-08-18 20:45:00
280921,19,13,7,5,10,10,9,3,4,3,0,0,6,9,4,4,0,0,1.47,1.26,51,49,19,13,4,2,66,67,1,0,,,2026-03-10 12:12:59.004521,true,true,true,false,2021-05-12 18:15:00
212900,12,15,4,4,8,4,4,11,4,3,0,0,8,5,2,2,0,0,1.06,0.84,,,,,,,,,0,0,,,,true,true,true,false,2020-03-03 21:45:00
159709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,0,0,,,2026-03-10 11:39:22.832303,true,true,false,true,2023-06-15 17:15:00
182994,25,5,9,0,21,2,4,3,9,3,0,0,8,2,3,1,0,0,2.56,0.34,,,,,,,,,1,0,,,,true,true,true,false,2017-09-23 15:45:00
120060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,1,0,,,2026-03-10 10:00:34.372482,true,true,false,true,2024-12-15 16:00:00
289001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,1,1,,,,true,true,true,true,2024-10-26 14:45:00
264327,26,13,9,6,17,6,9,7,8,4,0,0,5,1,0,1,0,0,2.27,0.94,75,25,8,17,2,1,89,60,1,2,,,2026-03-10 11:45:25.772498,true,true,true,false,2022-08-20 11:45:00
100830,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,0,0,0,0,,,0,4,,,2026-03-10 10:03:15.165844,true,true,false,true,2024-05-11 00:45:00
142116,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,0,0,0,0,,,0,0,,,2026-03-10 12:13:18.758655,true,true,false,true,2021-05-09 00:45:00
266467,16,14,6,3,10,10,6,4,5,3,0,0,7,5,1,1,0,0,1.36,1.29,,,,,,,,,0,0,,,,true,true,true,false,2019-10-27 01:45:00
356529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,0,2,,,2026-03-10 09:58:29.598072,true,true,false,true,2025-08-14 20:45:00
242532,11,12,4,2,7,9,4,3,3,6,0,0,4,8,2,4,1,0,0.95,1.14,54,46,8,17,3,2,78,72,1,2,,,,true,true,true,false,2023-01-29 19:15:00
128597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,0,1,,,2026-03-10 11:56:12.336149,true,true,false,true,2022-02-24 17:45:00
226921,22,11,7,5,16,8,6,3,7,3,0,0,15,3,2,2,0,0,2.05,1.03,60,40,6,9,6,2,84,80,0,1,,,2026-03-10 11:59:22.649349,true,true,true,false,2021-12-18 16:15:00
630208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,true,false,true,,2024-06-16 16:45:00
319611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,true,false,true,,2019-12-28 13:15:00
211213,9,15,2,5,5,9,4,6,5,3,0,0,2,3,1,0,0,0,0.72,1.25,51,49,10,14,0,2,85,83,0,1,,,,true,true,true,false,2025-11-01 21:30:00
221355,10,16,2,6,8,11,2,5,4,8,0,0,6,6,2,3,0,0,0.99,1.44,,,,,,,,,1,2,,,,true,true,true,false,2017-09-08 19:45:00
330089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,true,false,true,,2018-03-07 16:15:00
147973,8,5,6,3,0,0,0,0,0,0,0,0,8,4,1,2,0,0,,,47,53,15,16,1,0,,,1,1,,,2026-03-10 11:58:19.346705,true,true,false,true,2022-01-16 19:15:00
267579,9,4,2,2,5,2,4,2,1,0,0,0,7,1,2,1,0,0,0.72,0.3,,,,,,,,,0,0,,,,true,true,true,false,2019-04-29 18:45:00
96143,11,17,3,1,5,8,6,9,3,7,0,0,2,6,1,1,0,0,0.79,1.24,46,54,8,10,0,5,67,73,1,0,,,,true,true,true,false,2022-08-29 01:15:00
295515,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,3,0,0,,,,,,,,,,,0,0,,,,true,true,false,true,2019-07-20 16:45:00
118367,10,6,5,1,0,0,0,0,0,0,0,0,4,0,3,3,0,1,,,51,49,9,10,1,3,,,1,0,,,,true,true,false,true,2024-03-16 17:15:00
632226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,true,false,true,,2023-10-22 14:45:00
199530,13,12,7,5,10,8,3,4,2,1,0,0,4,6,3,3,0,0,1.26,1.06,,,,,,,,,2,0,,,,true,true,true,false,2017-04-03 20:30:00
631970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,true,false,true,,2024-12-14 13:45:00
292613,12,15,3,4,7,7,5,8,4,5,0,0,1,5,5,3,1,0,0.98,1.08,55,45,14,14,2,2,65,55,0,1,,,,true,true,true,false,2023-06-26 20:30:00
348519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,true,false,true,,2019-08-03 00:45:00
359604,16,15,7,3,11,6,5,9,2,3,0,1,5,7,1,4,0,0,,,,,,,,,,,,,,,,false,true,false,true,2015-09-17 20:50:00
214768,20,16,7,5,13,9,7,7,6,2,0,0,6,2,3,3,0,0,1.74,1.28,58,42,14,20,2,2,81,79,0,1,,,,true,true,true,false,2026-01-17 15:45:00
94427,26,8,7,6,17,3,9,5,8,0,0,0,12,1,2,1,0,0,2.27,0.52,75,25,12,8,0,0,89,67,0,3,,,2026-03-10 12:09:48.164273,true,true,true,false,2021-07-31 15:45:00
